Geneid,phage__lbmm_t15__2,phage__lbmm_phage_t05__2,phage__lbmm_phage_t10__1,phage__lbmm_phage_t15__1,phage__lbmm_t10__1,phage__lbmm_t05__2,phage__lbmm_phage_t00__1,phage__lbmm_t05__1,phage__lbmm_t00__1,phage__lbmm_t10__2,phage__lbmm_phage_t15__2,phage__lbmm_phage_t00__2,phage__lbmm_phage_t05__1,phage__lbmm_t15__1,phage__lbmm_phage_t10__2,phage__lbmm_t00__2
b1197,372,93,228,321,113,67,75,70,60,60,620,473,120,169,108,155
b1198,4675,1424,10082,9149,5152,943,1437,2153,1244,4165,11729,17385,4787,5032,7506,6754
b1199,1266,431,4122,3393,1849,223,419,587,381,1382,3323,5706,1525,1635,3491,2249
b1200,1461,680,5954,5131,2700,317,587,931,577,1929,4263,6030,2332,2254,4847,2379
b1201,97,241,689,337,384,135,131,370,110,111,203,462,613,127,208,222
b1202,162,212,189,244,107,148,52,67,44,154,316,227,136,86,300,138
b1203,2113,2343,1597,1827,825,1396,1909,741,1860,850,4851,1466,1558,925,1801,657
b1204,282,248,229,297,108,166,288,109,357,77,595,225,186,104,230,126
b1205,46,35,654,431,358,35,35,108,39,223,110,72,150,278,394,76
b1206,247,346,157,214,85,161,95,83,110,89,439,130,117,144,271,53
b1207,2318,1962,1010,1793,634,1053,1379,475,1415,714,4958,1247,900,979,1835,586
b1208,1625,1580,1382,1763,703,925,857,466,758,838,2807,1344,990,877,1606,676
b1209,484,575,567,516,377,449,229,259,249,383,978,635,372,316,647,316
b1210,916,941,1144,1055,628,763,430,382,427,500,1281,1516,735,656,964,916
b1211,1336,1946,1400,1831,749,921,471,356,513,752,3382,1194,853,888,1574,406
b1212,336,409,232,329,146,199,103,65,85,147,731,90,154,173,316,31
b1213,281,257,190,301,83,171,117,67,117,121,664,87,133,135,197,52
b1214,972,1206,1142,1187,614,699,501,415,475,450,2416,1103,885,656,1038,438
b1215,2256,3191,3213,3260,1643,1702,1146,839,1239,1400,5638,2620,1685,1656,3182,1052
b4419,1,0,0,2,1,2,2,0,0,2,0,1,0,0,0,0
b4421,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
b4423,8,0,4,5,1,1,3,0,0,1,0,1,0,0,0,0
b1216,148,177,163,195,96,87,54,77,69,60,303,125,146,83,114,49
b1217,30,53,68,66,49,31,16,32,15,37,61,93,64,38,53,36
b1218,62,115,195,127,102,45,40,75,38,55,198,181,115,54,137,110
b1219,920,1265,2308,2091,1369,639,351,549,355,830,1443,1427,988,1291,1508,931
b1220,115,189,381,321,228,138,65,145,48,143,207,470,300,150,221,240
b1221,475,823,1056,872,594,603,225,214,246,695,1029,1176,381,570,1181,511
b1222,528,1483,1817,1533,820,891,316,341,339,834,1178,1858,832,675,1774,895
b1223,1138,5886,7228,5829,3922,4491,282,513,323,6536,2697,8936,1396,3470,11173,4578
b1224,33923,46928,53899,59334,30532,38247,1820,2069,1255,59615,70973,81533,4727,36177,92735,33209
b1225,28759,20903,16036,33039,9153,14346,303,514,220,21326,60496,13542,987,17752,35915,3425
b1226,8602,5684,2696,7276,1594,3555,59,115,25,3654,15660,964,237,3751,6157,415
b1227,2472,1552,622,1840,387,1015,2,46,8,904,4148,234,72,1038,1215,100
b1228,47,48,6,44,10,25,3,12,1,16,74,3,0,12,24,1
b1229,6,0,1,4,2,2,6,5,10,0,2,1,0,4,0,17
b1232,454,720,840,765,432,464,392,388,421,341,1063,1079,809,423,743,401
b1233,114,272,319,292,144,107,103,104,114,91,376,320,287,144,267,93
b1234,410,525,1192,970,613,300,281,296,283,619,1144,1531,650,518,1164,606
b1235,158,197,328,342,196,112,103,116,97,151,382,457,236,155,287,175
b1236,1508,1881,3363,2817,2011,1010,1235,1201,1399,894,3249,1997,2075,1725,1841,965
b1237,16432,21408,36417,30068,21028,13237,11713,12886,12108,13652,32884,23190,24006,18686,24689,12032
b1238,665,1054,930,836,488,613,634,397,627,393,1394,874,788,515,910,387
b4573,10,34,28,22,9,22,10,10,9,9,36,67,7,15,22,22
b1241,4919,15223,17527,10281,9936,10466,3821,5632,3722,12549,9665,29213,10409,6444,20599,13212
b1242,105,132,149,130,76,124,80,51,97,73,197,321,126,100,103,123
b4711,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
b1243,8944,11623,17461,13642,9530,7799,4362,5227,4399,5417,17294,13460,10630,7667,9298,5643
b1244,1178,1269,2094,1968,1001,692,540,479,470,581,2483,755,1157,1002,1315,320
b1245,2737,3366,3315,3737,1787,1739,928,742,862,1412,5188,948,1484,1987,2925,561
b1246,4487,6732,5582,6324,2821,2909,1359,940,1346,2330,10664,2558,2326,2866,5041,1296
b1247,6663,10267,8178,9818,4302,4348,2169,1553,2010,3680,16182,4453,3601,4497,7365,2138
b1248,147,316,609,404,274,141,159,164,164,139,444,472,391,193,361,181
b1249,346,592,1435,953,762,395,265,492,265,410,682,1191,976,517,791,571
b4595,34,54,103,88,33,63,20,33,15,26,40,40,47,19,22,44
b1250,621,1668,2609,1756,1130,942,408,850,466,906,1586,2786,1847,797,1872,945
b1251,30,91,394,191,200,51,34,118,20,98,123,117,271,107,141,87
b1252,75,182,468,185,217,100,156,214,157,51,151,408,398,79,135,210
b1253,408,395,442,449,196,228,432,189,512,132,860,407,403,225,296,130
b1254,225,256,274,267,113,137,118,102,137,101,574,165,191,143,262,86
b1255,228,243,273,306,160,186,138,108,132,129,436,261,183,131,252,110
b1256,330,475,1138,901,613,344,99,176,107,437,657,970,333,582,850,506
b1257,11,22,52,21,16,17,11,25,13,6,22,51,25,18,23,21
b1258,2,10,20,8,7,9,4,9,6,2,14,16,14,4,6,2
b1259,0,0,1,4,0,1,0,1,1,2,0,2,1,0,0,0
b1260,55,55,405,312,217,41,30,86,21,46,187,73,143,141,104,42
b1261,300,421,1931,1119,1083,208,151,468,121,260,841,379,1043,647,480,198
b1262,114,121,415,279,174,88,47,173,48,44,263,139,355,163,96,89
b1263,28,29,106,70,30,23,10,34,10,5,42,34,45,29,29,12
b1264,14,34,68,73,33,24,16,41,14,8,39,39,70,17,13,17
b1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1266,589,659,717,760,413,427,257,248,288,302,1251,644,518,398,525,375
b1267,1211,2291,2368,2193,1319,1102,730,650,644,891,3353,2223,1414,1016,2118,857
b1268,217,349,242,285,134,162,78,105,67,136,511,356,180,141,317,190
b1269,2353,3037,1009,1881,568,1559,1394,596,1365,959,4980,1776,1108,906,2077,912
b1270,289,441,1556,1029,811,222,277,403,266,296,774,866,968,567,573,416
b1271,139,214,831,602,455,124,150,265,155,147,347,416,561,377,303,209
b1272,1774,3165,4493,3060,2443,1918,1080,1434,1019,1944,3798,3557,2995,1863,3205,1853
b1273,115,187,348,266,147,120,100,103,90,100,191,168,230,156,215,95
b1274,8659,9839,13096,15830,7324,4736,7267,4635,7203,3594,19358,5006,9403,7942,7612,2383
b1275,386,675,1716,935,961,371,257,612,275,415,707,978,1213,580,767,439
b4522,40,77,89,106,37,37,25,14,25,52,58,98,24,28,131,71
b4523,50,43,99,60,61,51,20,15,29,67,74,151,32,61,142,110
b4741,4,0,1,0,1,0,1,4,2,2,0,0,0,1,6,6
b1276,587,902,2567,1585,1532,563,305,751,266,422,1230,1434,1748,911,769,738
b1277,321,520,672,544,330,332,256,228,314,275,750,641,418,330,546,293
b1278,196,361,446,404,213,202,81,117,94,145,514,411,269,187,342,227
b1279,77,136,361,286,150,86,75,71,70,76,203,191,170,117,199,131
b1280,384,391,683,582,324,211,207,146,182,234,608,803,413,353,506,453
b1281,771,510,331,594,252,346,535,126,517,219,1273,448,293,327,324,216
b1282,282,350,174,297,87,134,179,53,206,99,872,257,179,132,214,57
b1283,32,82,79,63,40,50,34,45,32,36,146,69,35,37,97,43
b1284,192,256,919,596,505,215,188,365,213,253,423,640,683,384,348,381
b4596,13,11,162,115,44,13,17,15,24,29,18,24,91,37,17,26
b1285,74,85,175,144,77,50,44,92,39,44,132,181,116,74,59,71
b4672,1,0,0,4,0,0,3,1,2,0,0,0,0,1,1,1
b1286,1385,1695,1525,1599,936,872,1277,956,1282,496,3000,775,1561,821,1166,441
b1287,50,88,61,91,33,54,44,39,51,36,133,80,47,45,49,26
b1288,1099,1351,1957,1802,1009,877,1114,784,1147,646,2281,1246,1294,945,1404,584
b1289,46,31,94,52,36,35,26,16,28,30,80,39,35,35,65,32
b1290,234,427,440,373,202,226,136,117,170,171,638,505,223,195,348,177
b1291,318,503,528,515,272,269,168,128,180,191,660,492,284,219,467,239
b1292,81,211,149,125,80,70,70,49,57,55,312,160,121,78,227,66
b1293,63,76,84,107,57,50,33,42,45,26,121,64,66,41,51,27
b1294,368,558,561,508,298,359,252,239,284,166,847,736,401,262,380,341
b1295,119,81,125,126,76,66,47,40,52,54,128,97,98,41,85,49
b1296,29,43,75,68,30,29,17,56,19,28,82,36,106,22,30,12
b4742,9,0,0,4,0,1,2,4,0,0,1,0,2,1,0,7
b1297,50,33,120,88,50,25,37,123,48,18,134,67,299,32,33,32
b1298,6,11,68,49,36,16,19,74,23,10,38,24,134,36,13,23
b1299,140,178,352,237,164,70,64,163,74,57,346,221,419,122,132,77
b1300,16,26,84,46,30,8,8,17,12,15,15,12,28,19,5,18
b1301,15,12,36,27,30,2,5,7,6,4,37,16,22,13,8,14
b1302,4,8,14,22,5,1,1,2,1,4,10,6,6,7,5,1
b1303,75,247,590,337,325,158,53,234,65,180,202,379,467,197,318,250
b1304,799,1603,1720,1200,1087,869,1024,756,1166,804,1576,2536,1308,845,1436,1312
b1305,22,19,52,22,19,5,12,12,14,18,23,47,42,22,32,22
b1306,47,44,59,55,60,40,32,54,36,38,35,158,39,43,64,63
b1307,30,58,88,87,42,42,16,35,43,37,79,144,69,32,63,46
b1308,340,375,764,673,401,278,122,141,116,344,504,705,232,530,538,415
b1309,56,32,332,180,164,20,82,110,73,75,105,236,187,105,154,103
b1310,75,50,289,248,120,21,28,82,16,40,134,148,205,122,57,77
b1311,15,6,22,12,10,2,3,6,1,1,33,17,21,18,4,8
b1312,66,52,120,124,41,29,3,27,4,7,136,59,61,42,15,22
b1313,113,124,236,243,156,108,10,61,6,22,231,142,91,142,45,82
b1314,113,165,197,259,107,62,20,36,12,22,252,124,98,102,58,53
b1315,86,198,231,181,115,90,9,27,20,20,173,93,71,96,57,45
b1316,45,121,207,190,123,42,21,27,24,36,47,113,60,84,29,45
b1317,1,5,2,7,3,11,0,4,0,1,0,6,4,10,10,2
b1318,10,46,70,60,19,30,7,10,4,16,23,44,31,17,46,27
b4524,2,0,0,0,1,10,1,0,1,2,2,0,0,2,0,5
b1319,7,30,12,33,3,7,4,14,4,14,14,19,4,6,15,5
b1320,42,72,98,124,50,46,51,34,39,30,118,176,66,51,101,88
b1321,28,48,263,261,131,24,75,70,84,35,63,107,118,135,40,56
b1322,26,37,187,179,114,23,41,48,70,25,81,76,104,111,46,41
b1323,1230,2729,4914,3808,2751,1882,1077,1328,1180,2197,3065,4893,2569,2085,3745,2236
b1324,731,973,2381,2144,1424,668,652,784,744,538,1564,1358,1318,1392,789,800
b1325,389,454,823,746,478,377,241,242,201,467,769,820,407,419,557,463
b1326,58,117,176,167,103,57,22,66,19,48,99,200,116,73,149,97
b4525,7,20,51,53,29,22,6,17,8,14,18,35,33,22,40,12
b4673,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
b1327,14,52,74,45,40,23,11,22,5,26,40,50,48,19,34,23
b1328,118,169,426,239,167,127,106,167,112,118,275,396,341,103,200,163
b1329,1320,887,3021,3243,1626,488,1126,750,1081,1410,2780,2494,1450,1632,2640,1077
b1330,59,106,107,105,56,94,60,50,80,38,120,205,84,52,72,84
b1331,32,46,30,22,25,25,12,15,11,30,36,56,23,17,19,28
b1332,244,236,832,515,399,140,164,412,147,80,764,220,598,296,234,127
b1333,774,1530,5683,3723,3250,947,285,896,279,2132,1470,4073,1973,2304,3483,2050
b1334,1728,1090,1094,1432,665,758,751,563,873,402,3244,1624,905,778,901,550
b1335,73,280,382,288,224,124,89,127,87,156,231,481,240,159,282,230
b1336,14,11,21,27,20,13,11,12,9,11,34,22,24,15,28,26
b1337,2,17,35,23,13,4,7,11,3,4,14,20,22,22,13,12
b1338,20,14,94,76,36,21,18,18,14,17,47,40,41,34,20,16
b1339,188,92,659,511,282,36,109,171,109,224,488,228,360,250,413,105
b1340,103,103,172,112,71,69,84,46,84,35,121,123,110,66,91,105
b1341,19,31,61,67,28,17,8,22,5,21,37,51,42,31,41,22
b1342,134,316,559,341,321,153,86,204,77,188,241,608,359,151,352,316
b4743,2,6,10,4,2,2,4,7,0,3,4,2,1,2,4,4
b1343,325,312,177,357,95,170,136,60,145,92,762,121,115,192,134,59
b1344,1395,2031,2143,2368,1025,1043,1437,755,1576,466,4065,1142,1832,1024,1268,385
b1345,413,276,389,320,301,266,452,215,493,129,427,248,220,272,171,204
b1346,0,9,9,5,3,1,4,3,1,1,19,10,2,4,9,0
b1347,4,7,14,2,7,9,3,5,4,3,2,6,8,3,1,7
b1348,0,4,7,2,2,2,3,1,0,0,4,8,10,3,1,0
b1349,15,28,48,44,28,8,16,24,8,4,16,53,50,7,27,20
b1350,33,107,147,105,88,60,44,65,55,39,168,143,89,72,59,79
b1351,5,10,3,10,8,5,4,6,0,6,16,6,4,2,1,9
b4526,1,4,2,6,0,0,2,1,0,0,0,2,3,4,2,0
b1352,0,0,3,1,2,1,0,3,2,0,3,0,3,1,2,1
b1353,9,34,17,8,8,17,4,13,9,11,27,35,10,6,20,21
b4527,3,1,8,8,5,3,1,2,5,1,1,2,6,1,0,7
b1355,9,4,15,8,7,3,14,7,5,3,0,0,10,1,2,15
b1356,362,823,1091,922,507,526,232,316,245,377,786,793,633,486,842,455
b1357,2,6,19,15,9,7,3,5,1,6,5,15,17,3,9,2
b1358,5,7,17,13,15,3,6,7,15,10,9,14,21,12,27,10
b1359,44,95,120,71,63,34,38,48,30,37,67,121,86,38,101,50
b1360,22,34,82,44,30,23,16,30,19,21,35,59,45,18,40,16
b1361,7,19,35,33,25,16,8,7,2,9,18,19,33,7,26,16
b1362,0,4,2,8,0,0,1,0,1,0,4,8,2,1,11,1
b4528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1363,231,427,332,311,162,250,162,169,161,119,496,564,335,147,300,173
b1365,50,32,15,24,30,30,24,19,23,15,53,51,16,17,21,34
b1366,68,144,56,98,39,40,49,62,43,40,284,158,56,32,129,59
b1368,31,57,63,78,41,48,34,64,17,18,53,81,62,44,29,49
b4570,2,1,2,0,1,2,3,2,0,2,0,1,5,3,1,4
b1370,73,109,142,134,139,96,80,118,83,79,76,90,103,111,64,138
b1372,18,60,52,66,37,21,31,63,17,27,62,72,46,31,37,53
b1373,0,1,0,0,0,0,0,0,0,0,8,2,0,0,0,0
b1374,80,101,97,90,47,66,18,43,13,35,177,142,82,57,85,54
b1375,97,105,162,119,26,59,19,23,17,48,120,117,80,40,90,55
b4744,21,3,11,10,14,15,4,5,8,10,3,6,10,17,7,13
b4638,5,0,0,0,0,0,2,0,1,4,0,0,0,3,0,1
b1376,139,434,1486,1061,900,266,155,377,195,451,376,561,496,710,775,431
b1377,7,1,6,8,2,3,2,11,6,2,1,9,5,7,6,7
b1378,504,1104,2927,2619,1847,768,866,656,855,737,1143,1752,1230,1443,1292,711
b4529,102,134,788,529,371,87,110,188,104,244,252,421,270,291,505,226
b1379,39,138,112,78,36,78,42,13,48,22,74,66,35,32,47,21
b1380,158,657,936,534,543,474,79,224,107,214,359,489,375,344,497,200
b1381,287,576,554,520,274,309,233,238,286,248,727,794,409,300,507,397
b1382,40,96,127,78,50,25,20,14,32,31,153,88,78,42,114,44
b1383,142,233,429,346,178,164,123,111,114,169,335,301,288,236,286,190
b1384,32,13,169,149,64,9,87,99,81,29,110,27,128,84,42,19
b1385,68,87,170,155,84,36,52,92,47,37,164,152,176,69,61,95
b1386,14,10,48,42,21,9,9,32,8,10,23,38,22,17,13,20
b1387,1,18,54,32,27,8,6,24,16,5,14,36,41,21,7,22
b1388,5,5,57,18,42,10,12,53,16,5,10,30,102,23,5,10
b1389,2,2,25,19,12,3,0,22,1,0,7,15,35,9,1,4
b1390,10,22,99,43,47,6,6,49,5,4,24,60,105,29,16,24
b1391,4,6,74,40,36,3,7,44,6,1,5,10,57,12,5,13
b1392,6,16,75,52,57,8,4,42,5,2,4,44,55,25,9,18
b1393,3,8,27,15,14,6,1,17,6,2,3,14,31,14,4,3
b1394,12,28,83,27,40,7,2,16,6,7,21,52,53,21,8,23
b1395,23,84,204,127,124,23,14,36,13,13,39,115,63,61,24,78
b1396,0,0,22,4,8,0,1,1,1,1,0,6,4,1,5,1
b1397,23,33,131,98,71,34,14,40,18,12,69,88,52,50,18,39
b1398,45,67,267,185,108,48,51,63,27,30,119,161,152,77,49,84
b1399,111,304,516,404,320,144,98,175,96,130,288,496,333,192,226,233
b1400,103,204,454,245,204,138,89,98,118,102,247,387,267,186,220,200
b4674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4492,1611,2826,2070,2004,1155,1672,951,853,1023,1089,3196,4158,1568,1053,2012,1871
b1402,140,352,531,306,286,184,99,166,94,179,381,744,362,159,345,393
b1403,55,102,170,126,73,66,48,55,28,65,88,135,109,82,93,99
b1404,9,52,78,41,23,7,8,9,6,15,71,87,48,11,51,24
b1406,71,63,386,319,247,51,15,62,25,135,129,403,104,193,219,179
b1407,40,58,62,92,35,34,25,34,25,29,130,216,50,58,56,74
b1408,2,16,5,11,0,0,0,3,0,2,3,10,9,0,0,3
b1409,4,3,0,7,4,6,9,10,1,0,15,8,1,5,1,10
b1410,25,49,54,57,40,23,16,46,9,21,74,65,23,18,31,36
b1411,86,143,218,168,130,71,49,80,52,99,196,261,165,86,128,123
b1412,50,73,179,99,83,45,24,49,21,34,94,95,109,70,59,49
b1413,3168,4593,4882,4499,3009,2597,2137,1531,2030,2481,6248,4421,3157,2457,4559,2298
b1414,70,126,315,257,166,88,71,155,74,67,144,278,264,115,110,133
b1415,1784,915,22136,12622,12368,589,3961,17815,3220,794,6388,7687,33915,6216,1650,4467
b4493,994,2052,2794,2271,1256,1294,392,711,375,1436,2189,2747,1425,1180,2659,1395
b1418,572,1222,2643,1902,1219,457,428,859,379,379,1734,1371,2070,827,921,471
b1419,33,58,151,98,68,24,35,43,12,36,96,132,85,49,74,31
b4428,1,3,38,21,2,0,0,0,1,2,0,3,8,5,2,5
b1420,32,40,31,35,17,25,9,7,4,19,48,24,11,18,31,27
b1421,62,71,4520,3949,2407,42,882,717,787,32,117,143,1510,2177,69,69
b1422,98,27,203,292,113,7,116,171,71,12,497,19,295,116,40,19
b1423,2,5,38,38,22,4,6,17,6,7,33,39,39,22,14,16
b1424,499,514,1003,971,562,243,240,345,248,278,1021,675,744,495,595,319
b1426,115,101,649,404,286,59,63,115,52,378,233,609,159,267,472,394
b1427,87,159,460,302,188,79,59,111,40,231,210,275,185,176,471,136
b1428,18,40,130,54,63,44,15,50,14,36,38,88,106,35,38,38
b1429,74,104,231,133,106,88,70,115,52,76,117,202,153,77,136,132
b1430,337,538,796,736,429,299,193,238,250,293,862,629,511,403,660,257
b1431,203,271,608,413,283,167,138,174,148,162,397,477,318,258,265,261
b1432,109,250,468,313,224,145,60,142,65,155,231,434,248,172,276,195
b1433,6,9,48,33,28,6,18,33,11,15,8,56,30,20,27,25
b1434,21,46,74,39,27,38,28,25,19,17,34,43,54,24,12,30
b1435,890,929,698,829,390,564,661,227,646,284,1802,832,463,434,593,276
b1436,24,54,93,83,31,19,28,57,21,14,61,38,66,42,26,35
b4532,15,46,61,59,31,23,22,26,12,30,36,94,47,21,41,36
b1438,25,113,79,65,57,41,24,27,17,34,90,167,61,53,109,45
b1439,233,184,228,222,103,122,137,162,136,69,424,326,283,122,144,129
b1440,13,16,31,39,22,5,10,10,10,4,13,28,23,12,11,15
b1441,3,6,19,12,19,4,3,7,2,0,8,28,13,12,2,11
b1442,1,10,9,2,3,4,3,4,5,5,7,32,4,1,7,2
b1443,27,41,70,84,35,24,15,26,11,11,48,69,46,35,28,23
b1444,72,116,205,226,116,81,66,89,72,63,190,244,144,121,149,131
b4598,0,0,6,3,3,4,2,4,0,2,0,8,9,6,2,4
b1445,11,16,15,14,4,11,10,2,10,8,55,39,8,20,10,4
b1446,368,607,1784,1131,924,405,425,571,420,319,649,783,935,793,544,541
b1447,12,9,49,48,30,8,4,14,2,13,37,31,27,17,23,17
b1448,59,186,452,301,291,117,52,159,42,119,154,339,341,167,270,153
b1449,163,279,612,586,365,153,68,111,55,212,394,917,242,271,335,380
b1450,36,49,123,83,53,29,45,34,31,27,72,239,70,31,42,95
b1451,355,411,1056,1111,638,119,985,958,824,83,1093,170,1817,555,223,84
b1452,160,273,1505,626,851,139,509,961,541,71,380,493,2048,358,136,242
b1453,98,144,109,170,67,78,183,73,189,50,134,45,83,92,98,24
b1454,1,1,11,17,4,3,2,5,3,5,5,3,4,4,3,8
b1455,0,1,1,0,0,0,2,0,1,2,0,13,4,2,0,0
b1456,65,107,113,101,79,57,48,56,44,43,163,207,116,63,57,111
b1457,177,244,349,307,160,109,84,112,71,114,454,460,321,106,268,137
b4745,1,0,4,5,0,0,1,1,3,0,0,0,4,3,1,2
b1459,213,172,297,243,131,85,120,109,130,79,505,603,247,101,204,224
b1460,41,46,70,65,43,38,22,34,21,26,109,44,47,32,41,27
b1461,4,17,29,23,22,6,12,10,10,6,10,9,15,8,22,4
b1462,8,33,80,65,46,6,13,42,2,27,57,48,29,32,64,52
b1463,36,50,137,91,76,33,18,54,10,36,53,65,71,45,54,47
b1464,89,128,217,140,99,63,39,69,35,70,154,161,152,72,115,70
b1465,5,12,20,8,13,9,5,5,2,8,19,14,5,8,4,11
b1466,15,22,15,46,21,12,8,8,9,13,10,12,7,10,9,11
b1467,29,59,123,88,51,30,17,18,12,23,88,49,35,37,53,22
b1468,34,66,85,87,53,34,15,45,8,29,94,75,37,57,51,32
b1469,0,5,11,11,12,3,6,13,2,2,9,1,5,4,4,14
b1470,2,6,6,10,1,3,3,14,0,3,3,7,2,1,1,2
b1471,2,0,1,5,3,1,1,3,1,0,3,1,1,3,0,2
b1472,0,4,1,0,0,0,0,2,0,0,4,0,0,0,0,3
b1473,28,86,129,97,64,50,25,53,34,41,86,107,82,34,58,73
b1474,15587,13240,11070,17599,6638,9436,1534,1188,1248,13937,27224,10137,2406,10484,19381,5254
b1475,5691,4023,2761,5033,1527,2460,259,360,193,3923,11095,2584,780,2796,5916,1233
b1476,8726,5770,3239,7166,1720,3523,279,499,183,4606,17107,3413,1117,3472,6982,1489
b1477,24,75,140,87,71,27,28,89,29,28,74,115,144,54,45,39
b1478,76,181,229,196,88,72,40,57,45,49,279,121,113,90,110,35
b1479,1295,2880,3747,3435,2083,1514,887,995,845,1126,2837,3098,2097,1692,2151,1418
b1480,9,17,92,71,50,20,7,20,10,24,19,33,49,36,28,21
b1481,0,5,1,0,0,3,0,3,1,0,4,0,0,0,0,0
b1482,18,56,146,87,120,29,30,55,24,44,46,84,111,74,49,51
b1483,6,10,15,19,10,2,5,5,1,3,7,26,13,10,5,9
b1484,2,8,22,12,9,2,1,7,4,9,11,13,12,12,12,8
b1485,2,5,11,3,4,3,3,6,1,3,3,17,7,0,8,3
b1486,1,2,8,3,8,1,0,4,1,2,7,13,8,2,1,6
b1487,22,17,25,24,21,9,11,19,5,7,18,24,30,11,11,7
b1488,7,0,7,2,9,2,1,8,3,0,9,12,6,4,7,5
b1489,43,90,120,99,68,44,40,78,18,30,85,86,75,43,83,51
b1490,29,62,186,120,81,43,41,90,32,21,54,109,127,53,41,54
b4746,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1
b1491,56,98,137,133,56,65,57,58,58,42,156,121,92,69,89,80
b1492,6,17,31,21,12,7,9,19,3,3,7,17,18,11,12,13
b1493,6,22,34,47,12,25,8,15,3,10,23,34,28,10,7,12
b1494,80,329,401,234,214,160,254,207,256,97,271,330,296,143,241,160
b1495,24,98,125,60,51,50,100,89,87,18,68,172,135,19,59,95
b1496,20,56,45,39,19,21,62,56,66,6,72,107,64,18,18,84
b4747,6,0,1,0,1,5,6,3,3,2,0,0,0,0,0,10
b1497,60,45,43,44,12,17,13,19,7,31,112,657,14,19,62,235
b1498,433,963,545,515,253,623,70,113,89,803,793,4568,200,300,1355,1830
b1499,3,11,15,21,15,11,5,9,2,5,28,11,13,9,4,10
b1500,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
b1501,28,41,75,34,46,20,19,40,13,23,79,63,44,30,44,32
b1502,8,6,13,13,8,7,7,8,4,1,28,8,9,5,4,11
b1503,2,1,3,8,2,1,3,4,0,2,2,3,6,2,2,8
b1504,3,2,2,6,1,2,3,9,3,7,11,13,3,3,3,1
b1505,9,32,14,38,16,14,10,30,2,6,48,22,8,11,13,12
b1506,2,6,10,7,7,0,6,8,4,2,8,17,8,5,5,5
b1507,83,233,623,386,325,145,177,269,176,147,233,687,483,233,244,414
b1508,7,18,36,22,36,17,6,25,15,12,8,30,26,25,16,27
b4696,362,659,1036,762,624,418,285,500,222,410,737,1413,745,396,699,683
b1511,35,57,339,202,223,38,59,129,63,53,99,566,188,158,69,311
b1512,101,119,1986,1128,1112,75,236,453,182,199,195,1730,891,654,308,921
b1513,4,3,32,32,31,3,12,13,7,11,9,79,16,11,17,36
b1514,3,3,6,6,2,4,6,6,2,2,14,24,0,7,1,10
b1515,4,9,7,19,5,2,2,6,6,4,6,20,4,8,4,8
b1516,17,21,47,49,26,31,6,21,9,4,23,52,30,35,22,34
b1517,26,38,74,69,44,39,7,27,7,15,33,66,45,44,20,35
b1518,1,14,10,13,9,9,1,2,1,5,4,7,1,6,9,5
b1519,38,72,124,87,63,80,23,39,31,43,74,187,91,51,81,83
b1520,25,99,24,34,2,67,11,23,5,8,41,126,26,8,15,46
b1521,53,70,329,232,172,39,34,41,32,81,122,197,70,141,120,67
b1522,51,57,72,60,37,15,33,34,27,15,54,71,42,40,52,30
b1523,28,80,37,95,26,20,32,29,40,29,114,53,41,19,30,10
b1524,306,364,356,356,202,214,209,120,234,124,555,436,235,187,320,175
b1525,171,345,576,419,373,248,93,139,104,228,359,625,308,265,361,311
b1526,19,39,76,69,36,24,19,46,29,17,58,42,64,28,37,34
b1527,6,24,8,18,12,11,9,33,5,7,15,17,14,4,15,13
b1528,53,392,65,45,28,240,18,49,24,28,85,126,42,27,78,55
b1529,100,211,419,309,211,153,89,149,82,142,249,258,186,158,237,134
b1530,123,195,185,170,161,148,260,180,276,92,321,340,139,120,159,141
b1531,109,597,613,387,243,176,331,233,370,90,394,664,632,163,338,187
b1532,16,3,13,16,25,11,29,25,38,7,4,13,12,20,5,18
b1533,112,132,217,251,127,83,103,175,99,57,311,221,312,131,130,113
b1534,26,22,59,62,26,21,17,54,10,16,63,60,90,27,26,26
b4599,7,15,43,34,10,12,2,7,2,5,18,7,31,6,4,8
b1535,62,90,88,112,49,48,33,47,19,24,156,86,49,49,61,54
b1536,3,4,13,10,10,4,5,12,4,1,16,5,9,7,2,1
b1537,6,7,13,10,5,5,4,7,5,7,16,13,8,3,6,5
b1538,386,894,1986,1271,1204,544,461,672,472,564,837,1270,1307,712,918,642
b1539,300,520,1260,894,723,416,214,348,230,382,621,806,634,567,706,500
b1540,554,600,812,826,395,445,290,266,279,324,1155,959,480,432,725,504
b1541,69,754,287,147,109,565,48,80,40,236,110,197,139,79,248,195
b1542,18,30,44,38,23,15,24,25,17,13,46,38,46,18,20,22
b1543,5,25,20,23,13,10,8,21,4,5,41,8,13,8,7,9
b4748,0,4,3,4,1,0,0,0,0,1,4,8,7,1,3,0
